file,expected_kcal,estimated_kcal,n_items
56_jpg.rf.78d8efcd88616817f6e0e67bce008554.jpg,900,847.1,2
59_webp.rf.83a4012af9c89d1876f725e75b55d381.jpg,450,252.8,1
5_jpg.rf.7fb6ad9aac4bd893ddefec31394c64bb.jpg,780,1058.1,7
5_jpg.rf.c142f67762a2463c24636efc7742ec36.jpg,300,297.9,1
5_jpg.rf.e8eedb6c2682416a7f294facda5926a4.jpg,694,647.3,1
61_jpg.rf.cc3cd36c0112a472f5d6e473bd650520.jpg,576,557.5,1
63_jpg.rf.028b72bed2420806ea9d41b4961f17c7.jpg,450,323.9,2
63_jpg.rf.3b7a8ca59cf8665eb18f49b5fb5b2115.jpg,522,323.5,1
64_jpeg.rf.e0895d62356cf28b386071d1fab1d37f.jpg,666,673.1,2
65_jpeg.rf.2aae27e83384779c01a6b6a8db881f7c.jpg,576,593.2,1
65_jpg.rf.618d5e7099308a8ead03889160a18209.jpg,571,309.3,1
67_jpeg.rf.5ecf8c9e7e875bd7333d7e87e9d360de.jpg,576,0.0,0
67_jpg.rf.5e87d9a97722df02b5cc4d9805bb28f4.jpg,571,469.9,3
68_png.rf.01e793bdf9741b2a9f5a486ae3200fc9.jpg,571,585.7,2
68_webp.rf.4e3279ebf1cbe0bca6dc122fb817d1dd.jpg,650,549.3,5
69_jpg.rf.6cce9ce593c358625936bed1da2ccf18.jpg,681,640.3,3
70_jpg.rf.5478c816ded208ce78e419c88d5ebdfd.jpg,666,636.6,2
72_jpg.rf.b0ea21b59cf738f2894158b83f016c78.jpg,745,1056.2,2
74_webp.rf.324ab668e8608e9ec735f72937c218bb.jpg,450,544.1,1
8_jpg.rf.3486db9def33ac3071f31aaf8615da5c.jpg,1100,883.2,3
fried27_jpg.rf.50a048ad3961cc086c58041ca867a9ae.jpg,893,1161.9,10
fried34_jpg.rf.37744e1626b9491c42812a8ab2fa3cff.jpg,988,691.7,5
fried48_jpg.rf.4d732d39643731779359386fa5bf2b79.jpg,893,768.3,6
fried64_jpg.rf.9d5de1613cc70ed31f49d8106f8daa5d.jpg,1117,1009.1,5
fried6_jpg.rf.b1f98f67fdf3b7cf92493bc38a7fe563.jpg,893,782.4,7
fried8_webp.rf.c9590703fe99d737b178433b5032e301.jpg,965,819.7,8
plain10_jpg.rf.21927fe4e929db2eb1283676a8d6c2f8.jpg,650,692.6,7
plain1_jpeg.rf.9fbb783e2deb6af4893fc8f1c10666d2.jpg,623,767.1,6
plain24_jpg.rf.08378282b0f9686393708c0143d0cfeb.jpg,623,913.1,10
plain39_jpg.rf.3dbd8b5266e0bc893f0cb130c2c63036.jpg,546,313.1,4
plain58_jpg.rf.7b2020c76a17039db777e3865fcab7ae.jpg,623,723.4,6
plain60_webp.rf.44f6e28f0f4867cf55d413ddaea7d82c.jpg,563,432.8,5
rendang12_jpg.rf.9dbe6c447e212ee9582edf4dde9f5569.jpg,628,522.4,3
rendang17_jpeg.rf.03052dd3874f2f280a94fd791dde935f.jpg,873,671.5,7
rendang31_jpg.rf.706620a50d2d42ea7f9d3498e8f0d65b.jpg,813,663.1,6
rendang46_jpg.rf.967adac9ec22e155ca85e2ea12b0b289.jpg,958,809.5,7
rendang57_webp.rf.1982140177e2fa9e89dd682a7937522f.jpg,630,756.7,3
rendang62_jpg.rf.a28570796e760745bf06f74281be4f76.jpg,793,970.2,7
