file,expected_kcal,items_visible,portion_notes,quantity if have,remakrs
fried34_jpg.rf.37744e1626b9491c42812a8ab2fa3cff.jpg,988,Boiled-Egg+Rice+Peanuts+Roti-Canai+Chicken-Rendang,remark: fried chicken (270) not roti canai (300) (was 1018),,fried chciekn
fried48_jpg.rf.4d732d39643731779359386fa5bf2b79.jpg,893,Boiled-Egg+Peanuts+Sambal+Anchovies+Rice+Slices-Cucumber,remark: fried chicken present (+270) (was 623),,there is fried chicken
fried64_jpg.rf.9d5de1613cc70ed31f49d8106f8daa5d.jpg,1117,Peanuts+Rice+Fried-Chicken+Fried-Chicken+Rice,remark: thigh (107) + drumstick (320) not 2x270 (was 1230),,1 fried chicken but is thighs and drum
fried6_jpg.rf.b1f98f67fdf3b7cf92493bc38a7fe563.jpg,893,Peanuts+Slices-Cucumber+Anchovies+Boiled-Egg+Rice+Fried-Chicken+Sambal,"standard portions, remark none/kept",,
fried8_webp.rf.c9590703fe99d737b178433b5032e301.jpg,965,Slices-Cucumber+Rice+Peanuts+Anchovies+Sambal+Anchovies+Fried-Egg+Fried-Chicken,"standard portions, remark none/kept",,
plain10_jpg.rf.21927fe4e929db2eb1283676a8d6c2f8.jpg,650,Anchovies+Slices-Cucumber+Rice+Peanuts+Peanuts+Sambal+Slices-Cucumber,"standard portions, remark none/kept",,
plain1_jpeg.rf.9fbb783e2deb6af4893fc8f1c10666d2.jpg,623,Boiled-Egg+Slices-Cucumber+Peanuts+Rice+Sambal+Anchovies,"standard portions, remark none/kept",,
plain24_jpg.rf.08378282b0f9686393708c0143d0cfeb.jpg,623,Peanuts+Rice+Boiled-Egg+Slices-Cucumber+Sambal+Anchovies+Anchovies+Anchovies+Anchovies+Lo-Mein,"remark: 1 anchovy not 4 (-180), no lo mein (-450) (was 1253)",,1 anchovies and no lomein
plain39_jpg.rf.3dbd8b5266e0bc893f0cb130c2c63036.jpg,546,Boiled-Egg+Peanuts+Rice+Boiled-Egg,"standard portions, remark none/kept",,
plain58_jpg.rf.7b2020c76a17039db777e3865fcab7ae.jpg,623,Boiled-Egg+Peanuts+Rice+Slices-Cucumber+Anchovies+Sambal,"standard portions, remark none/kept",,
plain60_webp.rf.44f6e28f0f4867cf55d413ddaea7d82c.jpg,563,Rice+Sambal+Boiled-Egg+Peanuts+Slices-Cucumber,"standard portions, remark none/kept",,
rendang12_jpg.rf.9dbe6c447e212ee9582edf4dde9f5569.jpg,628,Chicken-Rendang+Rice+Boiled-Egg,"standard portions, remark none/kept",,
rendang17_jpeg.rf.03052dd3874f2f280a94fd791dde935f.jpg,873,Chicken-Rendang+Anchovies+Boiled-Egg+Slices-Cucumber+Peanuts+Rice+Sambal,"standard portions, remark none/kept",,
rendang31_jpg.rf.706620a50d2d42ea7f9d3498e8f0d65b.jpg,813,Chicken-Rendang+Sambal+Boiled-Egg+Peanuts+Slices-Cucumber+Rice,"standard portions, remark none/kept",,
rendang46_jpg.rf.967adac9ec22e155ca85e2ea12b0b289.jpg,958,Boiled-Egg+Rice+Peanuts+Chicken-Rendang+Peanuts+Peanuts+Anchovies,"standard portions, remark none/kept",,
rendang57_webp.rf.1982140177e2fa9e89dd682a7937522f.jpg,630,Chicken-Rendang+Rice+Sambal,"standard portions, remark none/kept",,
rendang62_jpg.rf.a28570796e760745bf06f74281be4f76.jpg,793,Boiled-Egg+Rice+Peanuts+Slices-Cucumber+Anchovies+Fried-Chicken+Fried-Chicken,remark: 1 rendang (250) not 2 fried chicken (-540) (was 1083),,rendang 1 and no 2 fried chicken
